country,region,healthcare_access,avg_daily_cases,max_daily_cases,total_cases,case_std,avg_risk_score,max_risk_score,outbreak_days,anomaly_days,avg_growth_rate,max_growth_rate,active_diseases,population,outbreak_frequency,cases_per_100k,volatility_index,vulnerability,cluster,cluster_label,pca_x,pca_y,intervention_priority,resource_multiplier,cluster_v2
DRC,Bukavu,0.3,651.0774281805745,19492,4759376,1122.1951894650085,31.4869220246238,72.7,172,196,9.152441860465117,500.0,10,14285714,23.53,4.56,1.724,0.7,0,🔴 Critical Hotspots,2.604379221704465,-1.3253133667971995,IMMEDIATE,3.0,2
DRC,Goma,0.3,762.0180574555403,13802,5570352,1239.181322126061,31.73826265389877,80.2,193,213,10.910166894664842,500.0,10,14285714,26.4,5.33,1.626,0.7,0,🔴 Critical Hotspots,3.0409275533359446,1.9835846118747347,IMMEDIATE,3.0,2
DRC,Kananga,0.3,758.7588235294118,14290,5546527,1130.0330179568734,31.645595075239395,79.0,191,205,9.976770177838578,500.0,10,14285714,26.13,5.31,1.489,0.7,0,🔴 Critical Hotspots,2.9658927399844535,1.0232003411648098,IMMEDIATE,3.0,2
DRC,Kinshasa,0.3,2175.333105335157,49429,15901685,3543.199059740315,32.041682626538986,75.3,175,201,9.90593707250342,500.0,10,14285714,23.94,15.23,1.629,0.7,0,🔴 Critical Hotspots,2.4788216387452877,-0.3639216831018261,IMMEDIATE,3.0,2
DRC,Kisangani,0.3,664.0913816689466,13436,4854508,1020.9938354133109,31.653693570451438,74.0,182,210,9.561641586867307,500.0,10,14285714,24.9,4.65,1.537,0.7,0,🔴 Critical Hotspots,2.599618052887544,-0.16283738998889985,IMMEDIATE,3.0,2
DRC,Lubumbashi,0.3,1100.4414500683995,19034,8044227,1721.1617038939073,31.769398084815318,78.9,187,203,10.382154582763338,500.0,10,14285714,25.58,7.7,1.564,0.7,0,🔴 Critical Hotspots,2.916596354629544,1.0467603000598455,IMMEDIATE,3.0,2
DRC,Mbuji-Mayi,0.3,730.3971272229822,17632,5339203,1131.2104398656968,31.548112175102602,77.7,174,209,9.214407660738715,500.0,10,14285714,23.8,5.11,1.549,0.7,0,🔴 Critical Hotspots,3.1222548258779566,-0.96999954200836,IMMEDIATE,3.0,2
Ethiopia,Addis Ababa,0.45,2910.966073871409,74048,21279162,4844.8429369601345,30.620820793433655,74.8,170,188,9.463428180574557,500.0,10,17142857,23.26,16.98,1.664,0.55,0,🔴 Critical Hotspots,1.0400435518272666,-1.3513694548677337,IMMEDIATE,3.0,2
Ethiopia,Afar,0.45,1637.1495212038303,38451,11967563,2587.5623473253977,30.407633378932967,72.1,198,215,10.939425444596443,500.0,10,17142857,27.09,9.55,1.581,0.55,0,🟠 High Burden Zones,0.4073291534110881,1.9325674677596996,URGENT,2.0,0
Ethiopia,Amhara,0.45,1551.0659370725034,27484,11338292,2271.6768523426063,30.358235294117648,74.1,193,206,10.25266757865937,500.0,10,17142857,26.4,9.05,1.465,0.55,0,🟠 High Burden Zones,0.773345463123053,1.035123513184792,URGENT,2.0,0
Ethiopia,Oromia,0.45,1863.7336525307799,41235,13623893,2670.6071523865294,30.456675786593706,76.8,175,202,9.608025991792065,500.0,10,17142857,23.94,10.87,1.433,0.55,0,🔴 Critical Hotspots,1.3705941395650219,-0.8017977035203931,IMMEDIATE,3.0,2
Ethiopia,Sidama,0.45,1375.8246238030097,31381,10057278,2199.124654498015,30.255540355677155,77.5,182,208,9.47075512995896,500.0,10,17142857,24.9,8.03,1.598,0.55,0,🔴 Critical Hotspots,1.4550051204717742,-0.35539751233879635,IMMEDIATE,3.0,2
