date,country,region,healthcare_access,population,risk_score,avg_risk_score,total_cases,active_alerts,top_disease,top_risk_factor,risk_tier
2023-01-01,DRC,Bukavu,0.3,14285714,34.1,29.189999999999998,3877,0,Cholera,Disease Severity,🟡 Medium
2023-01-01,DRC,Goma,0.3,14285714,34.2,29.110000000000003,4438,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,DRC,Kananga,0.3,14285714,34.1,29.15,4447,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,DRC,Kinshasa,0.3,14285714,34.0,30.080000000000002,16034,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,DRC,Kisangani,0.3,14285714,33.9,29.409999999999997,3553,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,DRC,Lubumbashi,0.3,14285714,34.0,29.139999999999997,6298,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,DRC,Mbuji-Mayi,0.3,14285714,34.0,29.24,4415,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Addis Ababa,0.45,17142857,33.1,28.060000000000002,15356,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Afar,0.45,17142857,32.9,27.869999999999997,10344,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Amhara,0.45,17142857,33.0,27.880000000000003,7018,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Oromia,0.45,17142857,32.2,28.360000000000003,13447,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Sidama,0.45,17142857,32.3,27.99,9323,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Somali Region,0.45,17142857,32.9,27.93,11031,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ethiopia,Tigray,0.45,17142857,33.1,28.139999999999997,12500,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ghana,Accra,0.7,4714285,30.3,25.240000000000002,8193,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ghana,Kumasi,0.7,4714285,29.7,25.6,3546,0,Meningitis,Disease Severity,🟢 Low
2023-01-01,Ghana,Northern Region,0.7,4714285,29.9,25.96,5108,0,Meningitis,Disease Severity,🟢 Low
2023-01-01,Ghana,Sekondi,0.7,4714285,30.6,25.25,2979,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ghana,Sunyani,0.7,4714285,30.7,25.029999999999998,2498,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ghana,Tamale,0.7,4714285,30.6,25.240000000000002,4508,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Ghana,Upper East,0.7,4714285,30.6,25.14,2778,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Eldoret,0.65,6750000,30.4,25.419999999999998,5634,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Garissa,0.65,6750000,36.1,26.3,4486,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Kisumu,0.65,6750000,38.0,26.75,3138,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Mandera,0.65,6750000,30.5,25.96,7105,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Mombasa,0.65,6750000,31.1,26.18,14702,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Nairobi,0.65,6750000,30.6,25.74,10177,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Nakuru,0.65,6750000,30.5,25.810000000000002,4536,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Kenya,Turkana,0.65,6750000,31.0,26.160000000000004,4846,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Nigeria,Abuja,0.5,27500000,33.1,28.339999999999996,34751,0,Meningitis,Disease Severity,🟡 Medium
2023-01-01,Nigeria,Anambra,0.5,27500000,32.1,27.869999999999997,25355,0,Meningitis,Disease Severity,🟡 Medium
