date,country,region,disease,risk_score,prediction,shap_Growth Rate,shap_AI Anomaly Signal,shap_Disease Severity,shap_Healthcare Access Risk,shap_Case Volume,top_factor,top_factor_value,second_factor
2023-01-22,DRC,Bukavu,Cholera,44.0,43.95565010025728,0.808,7.461,4.2,2.184,-0.297,AI Anomaly Signal,7.461,Disease Severity
2023-03-01,DRC,Bukavu,Cholera,45.4,45.45065010025728,-0.669,10.411,4.2,2.184,-0.275,AI Anomaly Signal,10.411,Disease Severity
2023-05-12,DRC,Bukavu,Cholera,45.5,45.52765010025728,0.193,9.486,4.2,2.184,-0.135,AI Anomaly Signal,9.486,Disease Severity
2023-05-13,DRC,Bukavu,Cholera,49.6,49.64265010025728,2.076,11.561,4.2,2.184,0.022,AI Anomaly Signal,11.561,Disease Severity
2023-07-14,DRC,Bukavu,Cholera,56.0,55.988650100257274,4.357,15.761,4.2,2.184,-0.113,AI Anomaly Signal,15.761,Growth Rate
2023-07-15,DRC,Bukavu,Cholera,56.9,56.92665010025728,9.918,11.061,4.2,2.184,-0.036,AI Anomaly Signal,11.061,Growth Rate
2023-07-16,DRC,Bukavu,Cholera,61.5,61.47065010025728,16.213,9.286,4.2,2.184,-0.012,Growth Rate,16.213,AI Anomaly Signal
2023-09-09,DRC,Bukavu,Cholera,51.2,51.16365010025728,1.555,13.786,4.2,2.184,-0.161,AI Anomaly Signal,13.786,Disease Severity
2023-10-01,DRC,Bukavu,Cholera,46.2,46.19365010025728,0.332,10.136,4.2,2.184,-0.258,AI Anomaly Signal,10.136,Disease Severity
2024-03-01,DRC,Bukavu,Cholera,49.0,48.985650100257274,1.767,11.486,4.2,2.184,-0.251,AI Anomaly Signal,11.486,Disease Severity
2024-03-30,DRC,Bukavu,Cholera,57.6,57.62965010025728,4.176,17.086,4.2,2.184,0.384,AI Anomaly Signal,17.086,Disease Severity
2024-04-01,DRC,Bukavu,Cholera,59.3,59.28765010025728,11.197,11.636,4.2,2.184,0.471,AI Anomaly Signal,11.636,Growth Rate
2024-06-11,DRC,Bukavu,Cholera,45.8,45.84465010025728,-1.189,11.211,4.2,2.184,-0.161,AI Anomaly Signal,11.211,Disease Severity
2024-06-13,DRC,Bukavu,Cholera,49.4,49.43165010025728,5.806,7.761,4.2,2.184,-0.119,AI Anomaly Signal,7.761,Growth Rate
2024-06-30,DRC,Bukavu,Cholera,48.2,48.19165010025728,-2.001,14.261,4.2,2.184,-0.052,AI Anomaly Signal,14.261,Disease Severity
2024-10-01,DRC,Bukavu,Cholera,48.4,48.372650100257275,0.826,11.811,4.2,2.184,-0.248,AI Anomaly Signal,11.811,Disease Severity
2024-11-03,DRC,Bukavu,Cholera,60.8,60.83165010025728,6.521,17.686,4.2,2.184,0.641,AI Anomaly Signal,17.686,Growth Rate
2024-11-04,DRC,Bukavu,Cholera,60.2,60.231650100257276,12.584,11.161,4.2,2.184,0.503,Growth Rate,12.584,AI Anomaly Signal
2024-11-28,DRC,Bukavu,Cholera,51.4,51.38265010025728,0.867,14.461,4.2,2.184,0.071,AI Anomaly Signal,14.461,Disease Severity
2024-11-29,DRC,Bukavu,Cholera,50.3,50.252650100257284,4.641,9.561,4.2,2.184,0.067,AI Anomaly Signal,9.561,Growth Rate
2024-12-08,DRC,Bukavu,Cholera,51.8,51.768650100257275,0.878,14.411,4.2,2.184,0.496,AI Anomaly Signal,14.411,Disease Severity
2024-12-09,DRC,Bukavu,Cholera,53.6,53.649650100257276,3.892,12.986,4.2,2.184,0.788,AI Anomaly Signal,12.986,Disease Severity
2024-12-10,DRC,Bukavu,Cholera,56.1,56.12265010025728,6.937,12.236,4.2,2.184,0.966,AI Anomaly Signal,12.236,Growth Rate
2023-01-26,DRC,Bukavu,Dengue,48.8,48.82765010025727,2.887,15.086,-0.8,2.184,-0.129,AI Anomaly Signal,15.086,Growth Rate
2023-03-01,DRC,Bukavu,Dengue,39.1,39.09565010025728,0.009,8.386,-0.8,2.184,-0.283,AI Anomaly Signal,8.386,Healthcare Access Risk
2023-03-02,DRC,Bukavu,Dengue,42.5,42.50765010025728,1.743,10.011,-0.8,2.184,-0.23,AI Anomaly Signal,10.011,Healthcare Access Risk
2023-03-05,DRC,Bukavu,Dengue,43.0,43.000650100257275,5.39,6.836,-0.8,2.184,-0.209,AI Anomaly Signal,6.836,Growth Rate
2023-04-19,DRC,Bukavu,Dengue,39.9,39.88865010025728,0.333,8.686,-0.8,2.184,-0.114,AI Anomaly Signal,8.686,Healthcare Access Risk
2023-06-11,DRC,Bukavu,Dengue,43.4,43.43265010025728,-0.902,13.511,-0.8,2.184,-0.16,AI Anomaly Signal,13.511,Healthcare Access Risk
2023-06-12,DRC,Bukavu,Dengue,40.0,40.04765010025728,1.973,7.261,-0.8,2.184,-0.17,AI Anomaly Signal,7.261,Healthcare Access Risk
2023-07-29,DRC,Bukavu,Dengue,53.6,53.58165010025728,5.602,16.986,-0.8,2.184,0.01,AI Anomaly Signal,16.986,Growth Rate
2023-08-31,DRC,Bukavu,Dengue,38.7,38.67665010025728,-0.105,8.086,-0.8,2.184,-0.288,AI Anomaly Signal,8.086,Healthcare Access Risk
2023-10-01,DRC,Bukavu,Dengue,45.9,45.853650100257276,0.312,14.761,-0.8,2.184,-0.203,AI Anomaly Signal,14.761,Healthcare Access Risk
